x,y
10.707733,89.101625
25.106271,6.668513
93.838819,89.120956
78.983631,67.42365
61.67865,55.725697
10.83614,90.726681
68.727741,80.790121
83.351566,83.800763
66.36914,80.258556
97.939406,92.707132
41.22647,18.059751
32.712717,41.025131
55.549656,52.590934
57.376357,81.592877
60.384722,86.972026
94.366903,50.382404
23.62913,84.075976
12.030805,61.851431
34.555016,35.245425
25.110222,47.463453
35.303553,57.565503
79.548596,79.626468
9.891287,26.023496
6.043343,51.135198
5.235885,38.761235
9.789857,85.139618
71.166687,31.649448
55.884109,91.032248
43.470996,83.823883
88.062886,22.54785
93.158683,57.417806
23.869701,66.586039
26.274,22.44456
63.765714,62.388866
62.587139,23.749758
78.925127,90.880031
87.777711,31.588861
30.865816,62.446473
7.688765,80.484519
19.416191,77.590721
91.636741,45.335047
59.858838,29.173388
8.193837,55.250584
2.697888,11.487201
69.972477,71.12605
57.671569,69.039901
14.394428,61.813012
54.976949,45.197589
72.864186,51.051445
27.651402,81.78144
61.889709,49.76256
15.464936,24.302584
15.597601,63.922211
24.666106,14.865215
89.795898,35.468293
90.68698,68.191132
86.27068,96.282607
99.690261,11.231975
55.191559,7.927979
83.15919,99.222007
27.451862,19.524315
98.849423,81.71049
48.233303,91.886782
93.47099,36.085219
41.329298,38.820166
88.838114,5.771379
55.574046,76.909045
55.732845,14.338168
17.701619,21.937641
47.125595,87.349798
99.388555,45.738562
60.492183,23.023417
68.759313,31.470458
30.366505,11.101617
9.04348,25.42048
67.89215,97.706519
55.118184,73.483661
72.190812,6.970265
71.316105,33.805059
71.933818,86.864285
97.227731,32.274138
32.561697,30.735676
15.302689,73.023436
44.297374,42.502634
22.389334,9.388773
40.187422,45.81457
66.356325,14.212239
78.9308,42.084313
52.746592,4.525273
94.733308,15.047132
16.32018,85.192635
50.946288,15.856355
22.985446,79.267191
11.896916,62.354635
54.187989,97.7352
23.098899,73.336286
41.44937,17.638249
11.996205,95.412027
7.65779,72.687447
15.065219,47.877001
58.79759,55.771685
99.18399,57.820776
37.090201,58.496735
59.034472,47.448811
18.733564,3.124587
40.375393,57.557083
39.667815,29.543262
67.037872,3.056278
85.479591,43.066461
95.237392,90.371357
24.76003,27.213058
27.83865,1.203555
84.981753,8.299179
59.174502,40.686655
81.274902,71.787538
72.058828,69.200409
37.270316,71.758696
83.060836,29.393041
39.147916,61.21908
59.571628,15.778708
